"","OverallQual","TotalSF","logSalePrice","BldgType","LotArea","GrLivArea","TotRmsAbvGrd","BedroomAbvGr","salePriceCategory","logTotalSF"
"1",7,1710,12.247694320221,"1Fam",8450,1710,8,3,"High",7.44424864949671
"2",6,1262,12.109010932687,"1Fam",9600,1262,6,3,"Medium",7.14045304310116
"3",7,1786,12.3171666930358,"1Fam",11250,1786,6,3,"High",7.48773376143644
"4",7,1717,11.8493977015914,"1Fam",9550,1717,7,3,"Medium",7.44833386089748
"5",8,2198,12.4292161968444,"1Fam",14260,2198,9,4,"High",7.69530313496357
"6",5,1362,11.870599909242,"1Fam",14115,1362,5,1,"Medium",7.21670948670946
"7",8,1694,12.6346030265693,"1Fam",10084,1694,7,3,"High",7.434847875212
"8",7,2090,12.2060726455302,"1Fam",10382,2090,7,3,"High",7.64491934495886
"9",7,1774,11.7745202026587,"1Fam",6120,1774,8,2,"Low",7.48099216286952
"10",5,1077,11.6784399034478,"2fmCon",7420,1077,5,2,"Low",6.98193467715639
"11",5,1040,11.7714361601217,"1Fam",11200,1040,5,3,"Low",6.94697599213542
"12",9,2324,12.7512996960135,"1Fam",11924,2324,11,4,"High",7.7510451179718
"13",5,912,11.8775685785581,"1Fam",12968,912,4,2,"Medium",6.81563999007433
"14",7,1494,12.5407575715773,"1Fam",10652,1494,7,3,"High",7.30921236569276
"15",6,1253,11.9640010843304,"1Fam",10920,1253,5,2,"Medium",7.13329595489607
"16",7,854,11.7905572015685,"1Fam",6120,854,5,2,"Low",6.74993119378857
"17",6,1004,11.9117015849276,"1Fam",11241,1004,5,2,"Medium",6.91174730025167
"18",4,1296,11.4075649493124,"Duplex",10791,1296,6,2,"Low",7.16703787691222
"19",5,1114,11.9766594812024,"1Fam",13695,1114,6,3,"Medium",7.01571242048723
"20",5,1339,11.8422292121128,"1Fam",7560,1339,6,3,"Medium",7.19967834569117
"21",8,2376,12.6925031124614,"1Fam",14215,2376,9,4,"High",7.77317368048254
"22",7,1108,11.8451027773086,"1Fam",7449,1108,6,3,"Medium",7.01031186730723
"23",8,1795,12.3458345879053,"1Fam",9742,1795,7,3,"High",7.49276030092238
"24",5,1060,11.7745202026587,"TwnhsE",4224,1060,6,3,"Low",6.96602418710611
"25",5,1060,11.9447078813958,"1Fam",8246,1060,6,3,"Medium",6.96602418710611
"26",8,1600,12.4541039123522,"1Fam",14230,1600,7,3,"High",7.37775890822787
"27",5,900,11.8115474774603,"1Fam",7200,900,5,3,"Low",6.80239476332431
"28",8,1704,12.6313403809345,"1Fam",11478,1704,7,3,"High",7.44073370738926
"29",5,1600,12.2428866186529,"1Fam",16321,1600,6,2,"High",7.37775890822787
"30",4,520,11.1345890242503,"1Fam",6324,520,4,1,"Low",6.25382881157547
"31",4,1317,10.5966347330961,"1Fam",8500,1317,6,3,"Low",7.18311170174328
"32",5,1228,11.9140478236443,"1Fam",8544,1228,6,3,"Medium",7.11314210870709
"33",8,1234,12.1001564199386,"1Fam",11049,1234,7,3,"Medium",7.11801620446533
"34",5,1700,12.0167264737993,"1Fam",10552,1700,6,4,"Medium",7.43838353004431
"35",9,1561,12.5335762121686,"TwnhsE",7313,1561,6,2,"High",7.35308192051543
"36",8,2452,12.6410965558799,"1Fam",13418,2452,9,4,"High",7.8046592970561
"37",5,1097,11.8844890214027,"1Fam",10859,1097,6,3,"Medium",7.00033446027523
"38",5,1297,11.9381932003746,"1Fam",8532,1297,5,3,"Medium",7.16780918431644
"39",5,1057,11.5991031612113,"1Fam",7922,1057,5,3,"Low",6.96318998587024
"40",4,1152,11.3144745262464,"Duplex",6040,1152,6,2,"Low",7.04925484125584
"41",6,1324,11.982929094216,"1Fam",8658,1324,6,3,"Medium",7.18841273649695
"42",5,1328,12.0435537160324,"1Fam",16905,1328,5,2,"Medium",7.19142933003638
"43",5,884,11.8775685785581,"1Fam",9180,884,5,2,"Medium",6.78445706263764
"44",5,938,11.7772109596156,"1Fam",9200,938,5,3,"Low",6.84374994900622
"45",5,1150,11.8565151693603,"1Fam",7945,1150,6,3,"Medium",7.0475172213573
"46",9,1752,12.6757637259376,"TwnhsE",7658,1752,6,2,"High",7.46851327149634
"47",7,2149,12.3870850123755,"1Fam",12822,2149,6,1,"High",7.67275789664251
"48",8,1656,12.4280154762679,"1Fam",11096,1656,7,3,"High",7.4121603349452
"49",4,1452,11.6351430976945,"2fmCon",4456,1452,8,2,"Low",7.28069719538474
"50",5,955,11.7519423654407,"1Fam",7742,955,6,3,"Low",6.86171134048073
"51",6,1470,12.083905011556,"1Fam",13869,1470,6,3,"Medium",7.29301767977278
"52",6,816,11.6483301019764,"1Fam",6240,1176,6,3,"Low",6.70441435496411
"53",5,816,11.6082356447746,"Duplex",8472,816,5,2,"Low",6.70441435496411
"54",9,1842,12.8609986132699,"1Fam",50271,1842,5,0,"High",7.51860721681525
"55",5,1360,11.7752897294377,"1Fam",7134,1360,6,3,"Low",7.2152399787301
"56",6,1425,12.1034860567551,"1Fam",10175,1425,7,3,"Medium",7.26192709270275
"57",8,1739,12.0581525154536,"Twnhs",2645,1739,7,3,"Medium",7.46106551435428
"58",7,1720,12.1884177102915,"1Fam",11645,1720,7,3,"High",7.4500795698075
"59",10,2945,12.9917534274931,"1Fam",13682,2945,10,3,"High",7.98786409608569
"60",5,780,11.7352686961137,"1Fam",7200,780,4,2,"Low",6.65929391968364
"61",6,1158,11.9703503120091,"1Fam",13072,1158,5,3,"Medium",7.05444965813294
"62",5,1111,11.5228757958234,"1Fam",7200,1111,6,3,"Low",7.01301578963963
"63",8,1370,12.2184951655287,"TwnhsE",6442,1370,6,2,"High",7.22256601882217
"64",7,1710,11.8493977015914,"1Fam",10300,1710,9,3,"Medium",7.44424864949671
"65",7,2034,12.2991075114974,"1Fam",9375,2034,8,3,"High",7.61775957660851
"66",8,2473,12.6666570528594,"1Fam",9591,2473,9,4,"High",7.81318726752142
"67",7,2207,12.1007121298723,"1Fam",19900,2207,7,3,"Medium",7.69938940625674
"68",7,1479,12.3282902782544,"1Fam",10665,1479,7,3,"High",7.2991214627108
"69",4,747,11.289781913656,"1Fam",4608,747,4,2,"Low",6.61606518513282
"70",7,2287,12.3238556811866,"1Fam",15593,2287,7,3,"High",7.73499619402278
"71",7,2223,12.4049235042753,"1Fam",13651,2223,8,3,"High",7.7066129139642
"72",4,845,11.7714361601217,"1Fam",7599,845,4,2,"Low",6.73933662735717
"73",7,1718,12.1281111040605,"1Fam",10141,1718,7,3,"Medium",7.4489161025442
"74",5,1086,11.8837991283088,"1Fam",10200,1086,6,3,"Medium",6.99025650049388
"75",3,1605,11.5843154610569,"1Fam",5790,1605,8,3,"Low",7.38087903556412
"76",4,988,11.418614785499,"Twnhs",1596,988,5,2,"Low",6.89568269774787
"77",4,952,11.8185702377962,"1Fam",8475,952,4,2,"Low",6.85856503479136
"78",5,1285,11.7519423654407,"1Fam",8635,1285,6,2,"Low",7.15851399732932
"79",4,1768,11.8240798936072,"Duplex",10778,1768,8,4,"Low",7.47760424319759
"80",5,1230,11.6082356447746,"1Fam",10440,1230,5,2,"Low",7.11476944836646
"81",6,2142,12.173032791452,"1Fam",13000,2142,8,4,"High",7.66949525100769
"82",6,1337,11.9414558460094,"TwnhsE",4500,1337,5,2,"Medium",7.19818357710194
"83",8,1563,12.4090134895269,"1Fam",10206,1563,6,3,"High",7.35436233042148
"84",5,1065,11.7479975871497,"1Fam",8892,1065,6,3,"Low",6.97073007814353
"85",7,1474,12.0346910287746,"1Fam",8530,1474,7,3,"Medium",7.29573507274928
"86",8,2417,12.4684369099977,"1Fam",16059,2417,9,4,"High",7.79028238070348
"87",6,1560,12.0668105781967,"1Fam",11911,1560,6,3,"Medium",7.35244110024358
"88",6,1224,12.0106658491876,"TwnhsE",3951,1224,4,2,"Medium",7.10987946307227
"89",3,1013,11.3504065354725,"1Fam",8470,1526,6,2,"Low",6.92067150424868
"90",4,990,11.7248058240057,"1Fam",8070,990,5,3,"Low",6.89770494312864
"91",4,1040,11.6073261403917,"1Fam",7200,1040,4,2,"Low",6.94697599213542
"92",5,1235,11.4988265405907,"1Fam",8500,1235,6,2,"Low",7.11882624906208
"93",5,964,12.0045682693194,"1Fam",13360,964,5,2,"Medium",6.87109129461055
"94",6,2291,11.8048485316793,"2fmCon",7200,2291,9,4,"Low",7.7367436824535
"95",6,1786,12.2295450017153,"1Fam",9337,1786,7,3,"High",7.48773376143644
"96",6,1470,12.1281111040605,"1Fam",9765,1470,6,3,"Medium",7.29301767977278
"97",7,1588,12.273731294004,"1Fam",10264,1588,6,3,"High",7.37023064180708
"98",4,960,11.4589971229447,"1Fam",10921,960,6,3,"Low",6.86693328446188
